,db_id,db_name,dtype,ctype,country,path,group,desc,n_mel,source
89,89,webe,midi,Art,German,"Lieder/scores/Lang,_Josephine",Europe,Taken from Lieder corpus of Western classical songs,52,Lieder
90,90,par2,midi,Art,English,"Lieder/scores/Lehmann,_Liza",Europe,Taken from Lieder corpus of Western classical songs,26,Lieder
91,91,lind,midi,Art,German,"Lieder/scores/Schumann,_Robert",Europe,Taken from Lieder corpus of Western classical songs,36,Lieder
92,92,cord,midi,Art,German,"Lieder/scores/Kinkel,_Johanna",Europe,Taken from Lieder corpus of Western classical songs,45,Lieder
93,93,davi,midi,Art,German,"Lieder/scores/Hensel,_Fanny_(Mendelssohn)",Europe,Taken from Lieder corpus of Western classical songs,35,Lieder
94,94,finn,mat,Folk,Finnish,Other/finfolktunes,Europe,Collection of Finnish folk songs,8613,Finnish
95,95,hens,kern,Art,German,19th-century-art-songs-by-German-composers/Hensel,Europe,Taken from Leigh VanHandel corpus of Western classical songs,50,ArtSong
96,96,wolf,kern,Art,German,19th-century-art-songs-by-German-composers/Wolf,Europe,Taken from Leigh VanHandel corpus of Western classical songs,82,ArtSong
97,97,corn,kern,Art,German,19th-century-art-songs-by-German-composers/Cornelius,Europe,Taken from Leigh VanHandel corpus of Western classical songs,25,ArtSong
98,98,rei2,kern,Art,German,19th-century-art-songs-by-German-composers/Reichardt,Europe,Taken from Leigh VanHandel corpus of Western classical songs,30,ArtSong
99,99,stra,kern,Art,German,19th-century-art-songs-by-German-composers/Strauss,Europe,Taken from Leigh VanHandel corpus of Western classical songs,33,ArtSong
100,100,sch2,kern,Art,German,19th-century-art-songs-by-German-composers/Schubert,Europe,Taken from Leigh VanHandel corpus of Western classical songs,121,ArtSong
101,101,mend,kern,Art,German,19th-century-art-songs-by-German-composers/Mendelssohn,Europe,Taken from Leigh VanHandel corpus of Western classical songs,56,ArtSong
102,102,sch3,kern,Art,German,19th-century-art-songs-by-German-composers/Schumann,Europe,Taken from Leigh VanHandel corpus of Western classical songs,123,ArtSong
103,103,fran,kern,Art,German,19th-century-art-songs-by-German-composers/Franz,Europe,Taken from Leigh VanHandel corpus of Western classical songs,61,ArtSong
104,104,brah,kern,Art,German,19th-century-art-songs-by-German-composers/Brahms,Europe,Taken from Leigh VanHandel corpus of Western classical songs,52,ArtSong
105,105,lang,kern,Art,German,19th-century-art-songs-by-German-composers/Lang,Europe,Taken from Leigh VanHandel corpus of Western classical songs,27,ArtSong
106,106,faur,kern,Art,French,19th-century-art-songs-by-French-composers/Faure,Europe,Taken from Leigh VanHandel corpus of Western classical songs,64,ArtSong
107,107,debu,kern,Art,French,19th-century-art-songs-by-French-composers/Debussy,Europe,Taken from Leigh VanHandel corpus of Western classical songs,33,ArtSong
108,108,goun,kern,Art,French,19th-century-art-songs-by-French-composers/Gounod,Europe,Taken from Leigh VanHandel corpus of Western classical songs,51,ArtSong
109,109,rebe,kern,Art,French,19th-century-art-songs-by-French-composers/Reber,Europe,Taken from Leigh VanHandel corpus of Western classical songs,30,ArtSong
110,110,chau,kern,Art,French,19th-century-art-songs-by-French-composers/Chausson,Europe,Taken from Leigh VanHandel corpus of Western classical songs,30,ArtSong
111,111,dav2,kern,Art,French,19th-century-art-songs-by-French-composers/David,Europe,Taken from Leigh VanHandel corpus of Western classical songs,33,ArtSong
112,112,mas2,kern,Art,French,19th-century-art-songs-by-French-composers/Massenet,Europe,Taken from Leigh VanHandel corpus of Western classical songs,39,ArtSong
113,113,bize,kern,Art,French,19th-century-art-songs-by-French-composers/Bizet,Europe,Taken from Leigh VanHandel corpus of Western classical songs,24,ArtSong
114,114,vend,kern,Child,Venda,Africa/Venda,Africa,"Venda Children's Songs by John Blacking",60,McBride
116,116,ghan,kern,Folk,Ghana,Africa/Ghana,Africa,"Folk Songs of Ghana by JH Nketia Kwabena",58,McBride
117,117,slav,kern,Folk,United States of America,Africa/Slave,Africa,"Slave Songs of the United States",135,McBride
118,118,noch,kern,Child,United States of America,Native_American/Densmore/nootka_child,NatAm,Songs and ballads for children from the Nootka and Quileute people,132,Densmore
119,119,jach,kern,Child,Jamaica,Jamaica/child,Africa,"Children's songs from Jamaica",17,McBride
120,120,mech,midi,Folk,Mexico,Mexico/BethNotes,Mexico,"Educational songs from Mexico",56,BethNotes
121,121,hawa,midi,Folk,Hawaii,Hawaii,Hawaii,"Educational songs from Hawai'i",22,BethNotes
122,122,ives,kern,Art,United States of America,Ives,Europe,"Songs by Charles Ives",31,McBride
123,123,kor1,kern,Folk,Korea,EastAsia/Korea/Chunhyangga,Korea,"Folk songs of Korea",46,McBride
124,124,kor2,kern,Folk,Korea,EastAsia/Korea/FolkSongsOfKorea,Korea,"Folk songs of Korea",50,McBride
125,125,kyrg,kern,Folk,Kyrgyzstan,Kyrgyz,Kyrgystan,"Janos Sipos paper",85,McBride
126,126,okif,kern,Folk,Okinawa,EastAsia/Okinawa/Folk,Japan,"Okinawa Folk Songs",179,McBride
127,127,okic,kern,Child,Okinawa,EastAsia/Okinawa/Child,Japan,"Okinawa Children's Songs",49,McBride
128,128,mexc,kern,Child,Mexico,Child/Mexican,Mexico,"El patio de me casa",28,McBride
129,129,engc,kern,Child,England,Child/English,Europe,"Nursery Rhymes",50,McBride
